reaction_id,compound_id
61,C00085 C05345
62,C01182
63,C00197
126,C00101
138,C00267 C00221
139,C00668 C01172
140,C00345
141,C00354 C05378
142,C01236
143,C00236
144,C00118
145,C00111
146,C00631
147,C00279
148,C00447
149,C05382
150,C00117
151,C00199
152,C00231
155,C06019
157,C00022
158,C00074
159,C00119
162,C00014
175,C01217 C18802
187,C00283
188,C01438
189,C00132
190,C00067
191,C00058
192,C00011
193,C01001
194,C03920
195,C00218
196,C00543
197,C00565
198,C04488 C18799
199,C04377
200,C04330
201,C01274
202,C00237
203,C00488
204,C00440
205,C00143
206,C00445
207,C00234
208,C00048
209,C00037
210,C03232
211,C01005
212,C00065
213,C00258
214,C00168
215,C00024
216,C05668
217,C00083
218,C01013
219,C00222
220,C01213
221,C00683
222,C00100
223,C00894
224,C01011
225,C06027
226,C06028
227,C18323
228,C00989
229,C00332
230,C01144
231,C00877
232,C11062
233,C00232
234,C00091
235,C00036
236,C00149
237,C00122
238,C00042
239,C04348
240,C00158
241,C00311
242,C00566
243,C00026
246,C00184
248,C00979
249,C00097
251,C04628
252,C04832
253,C03576
262,C00169
265,C04442
269,C00198
271,C00257
273,C00204
277,C00577
281,C00136
287,C00049
289,C00041
293,C00227
296,C00033
301,C03561
304,C18026
305,C20238
306,C18324
311,C00025
312,C03618
313,C01732
318,C00988
319,C00160
