,tail,head,uberPos,uberNeg
0,146,63,none,none
1,63,146,none,none
2,63,143,none,none
3,143,63,none,none
4,144,143,none,none
5,143,144,none,none
6,145 147,148,none,none
7,144 149,152 150,none,none
8,152 150,144 149,none,none
9,151,152,none,none
10,152,151,none,none
11,138,139,none,none
12,139,61,none,none
13,61,139,none,none
14,139,142,none,none
15,142,140,none,none
16,140,151,none,none
17,150,151,none,none
18,151,150,none,none
19,144,145,none,none
20,145,144,none,none
21,144 149,147 61,none,none
22,147 61,144 149,none,none
23,146,158,none,none
24,158,146,none,none
25,158,157,none,none
26,157,158,none,none
27,157,215,none,none
28,240,235 215,none,none
29,235 215,240,none,none
30,236,235,none,none
31,235,236,none,none
32,236,237,none,none
33,237,236,none,none
34,238,237,none,none
35,237,238,none,none
36,238,234,none,none
37,234,238,none,none
38,192 234,243,none,none
39,243,192 234,none,none
40,241,243,none,none
41,243,241,none,none
42,240,241,none,none
43,241,240,none,none
44,222,221,none,none
45,221,220,none,none
46,220,234,none,none
47,230,229,none,none
48,229,230,none,none
49,229,215,none,none
50,215,229,none,none
51,63,210,none,none
52,210,211,none,none
53,211,212,none,none
54,209 205,212 126,none,none
55,207,206,none,none
56,206,205,none,none
57,241,208 238,none,none
58,150,159,none,none
59,159,150,none,none
60,212,162 157,none,none
61,190,191,none,none
62,212,248,none,none
63,248 187,249,none,none
64,157,235,none,none
65,243,234,none,none
66,236,208 215,none,none
67,208 215,236,none,none
68,236,157,none,none
69,157,236,none,none
70,144,141,none,none
71,219,215,none,none
72,215,293,none,none
73,293,215,none,none
74,296,293,none,none
75,293,296,none,none
76,296,215,none,none
77,236,235,none,none
78,304,305,none,none
79,126,e0,none,none
80,141,e1,none,none
81,148,e2,none,none
82,249,e3,none,none
83,162,e4,none,none
84,305,e5,none,none
85,191,e6,none,none
86,s0,138,none,none
87,s1,219,none,none
88,s2,222,none,none
89,s3,304,none,none
90,s4,187,none,none
91,s5,190,none,none
92,s6,207,none,none
93,s7,209,none,none
